INVENTORY_ID,LOCATION_,SHOP,DESCRIPTION,SYSTEM_PAR,PACK,SIZE,MEASUREMENT,UOM,CASE_,EA,LB,OZ,BAG,GAL,TRAY,SLEEVES,ON_HAND,OPEN_ORDERS,ADJUSTED_PAR,ORDER_,TOTAL_CASE
BAK0001,BAKERS AREA,PANERA BREAD,SUB JUMBO JR 2-PLY TOILET PAPER,3,8,1000,FT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0002,BAKERS AREA,PANERA BREAD,ALMOND SLICED,1,6,2,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0003,BAKERS AREA,PANERA BREAD,SUGAR CANE RAW,1,12,1.5,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0004,BAKERS AREA,PANERA BREAD,PAN COATING OLIVE OIL SPRAY,1,6,21,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0005,BAKERS AREA,PANERA BREAD,PAN COATING ARSL ALL-PUR,1,12,14,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0006,BAKERS AREA,PANERA BREAD,LINER TRAY BAKERS (BROWN),2,1,1000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0007,BAKERS AREA,PANERA BREAD,COVER BAKERS RACK,2,1,50,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0008,BAKERS AREA,PANERA BREAD,CUP MUFFINE LINER,0.5,1,1000,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0009,BAKERS AREA,PANERA BREAD,SALT SEA-EXTRA COURSE,1,1,10,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0010,BAKERS AREA,PANERA BREAD,TOPPING CINNAMON SUGAR,1,1,10,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0011,BAKERS AREA,PANERA BREAD,CHOC DARK CONFECT SNAPS CALBAUT,2,12,16,OZ,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0012,BAKERS AREA,PANERA BREAD,BAG LOAF PFC FREE,0,1,500,CT,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0013,BAKERS AREA,PANERA BREAD,CEREAL ROLLED OAT REG,1,1,10,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0014,BAKERS AREA,PANERA BREAD,SUGAR CONFECTIONER 10X,1,12,2,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0015,BAKERS AREA,PANERA BREAD,TOPPING MINI CHOC CANDIES,1,1,15,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0016,BAKERS AREA,PANERA BREAD,TOPPING MIX EVERYTHING BAGEL,0.5,1,6,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
BAK0017,NOT USING,PANERA BREAD,SESAME SEED WHL HULLED,0.5,1,10,LB,CS,0,0,0,0,0,0,0,0,0,0,0,0,0
